"Datums","Sasniedzamais rezultāts","Uzdots","Temats","Kopsavilkums"
"22.09.2025","Kopsavilkums par taisni, staru, nogriezni, riņķa līniju, riņķi.
SR: Prot uzzīmēt, apzīmēt, atpazīt figūras. Prot aprēķināt prasītā nogriežņa garumu, lieto jēdzienu nogriežņa viduspunkts, lieto piederības simbolu. Zina riņķa līniju savstarpējo novietojumu, lieto to aprēķinos.","Mācību grāmatās 34.lpp ""Es protu"" 4.,5.,6.,7.,9.,11.,12.,13.uzdevumi. Gatavojoties pārbaudes darbam pārlasīt 1. nodaļā esošās definīcijas.
23.09.2025","Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"23.09.2025","Ievads planimetrijā (punkts, taisne, stars, nogrieznis, plakne).
SR: Atpazīst zīmējumā, prot attēlot zīmējumā un lieto pareizos apzīmējumus : punkts, taisne, stars, nogrieznis, plakne.Lieto jēdzienu viduspunkts. Aprēķina nogriežņa vai tā daļas garumu. Lieto zināšanas par riņķa līniju, to savstarpējo novietojumu.",,"Ievads planimetrijā: punkts, taisne, stars, nogrieznis, plakne.","1.temats"
"23.09.2025","Leņķi, to veidi.
SR: Zina leņķu veidus pēc lieluma, prot tos klasificēt, izdara dažādus spriedumus par leņķu lielumu.Risina uzdevums.","40.lpp 6.,8. uzdevumi.
26.09.2025","Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"26.09.2025","Leņķa lielums, to veidi. Leņķa bisektrise.
SR: Prot izmērīt leņķi, prot uzzīmēt prasītā lieluma leņķi. Zina leņķu veidus. Prot aprēķināt leņķa vai to da\lu lielumu. Zina, kas ir lenķa bisektrise, lieto to uzdevumu risināšanā.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"26.09.2025","Leņķa lielums, to veidi. Leņķa bisektrise.
SR: Prot izmērīt leņķi, prot uzzīmēt prasītā lieluma leņķi. Zina leņķu veidus. Prot aprēķināt leņķa vai to da\lu lielumu. Zina, kas ir lenķa bisektrise, lieto to uzdevumu risināšanā.","Pārbaudes darba kļūdu labojums uz lapas. 44.lpp 19.,22. uzdevumi.
29.09.2025","Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"29.09.2025","Leņķa lielums, to veidi. Leņķa bisektrise.
SR: Prot izmērīt leņķi, prot uzzīmēt prasītā lieluma leņķi. Zina leņķu veidus. Prot aprēķināt leņķa vai to da\lu lielumu. Zina, kas ir lenķa bisektrise, lieto to uzdevumu risināšanā.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"29.09.2025","Blakusleņķi un krustleņķi. Perpendikulāras taisnes.
SR: Zina, kas ir krustleņķi un blakusleņki, zina šo leņķu īpašības. Lieto tās uzdevumu risināšanā.","43., 45. uzdevumi 53.lpp
30.09.2025","Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"30.09.2025","Patstāvīgais darbs: Leņķi, to veidi, bisektrise. Uzdevumu risināšana par krustleņķiem un blakusleņķiem.
SR: Zina, kas ir leņķis, to veidus, lieto bisektrises jēdzienu uzdevumu risināšanā, lieto zināšanas par krustleņķiem un blakusleņķiem leņķu lielumu aprēķināšanā.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"30.09.2025","Uzdevumu risināšana par leņķiem.
SR: Lieto blakusleņķu un krustleņķu ''ipašības leņķu lielumu aprēķināšanai. Lieto perpendikula īpašību, lai iezīmētu attālumu.","53.lpp 39. uzdevums, 54.lpp 55. uzdevums
3.10.2025","Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
"3.10.2025","Leņķi, kas veidojas divām taisnēm krustojoties ar trešo taisni.
SR: Zina, kas ir kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi. Lieto šo leņķu īpašības uzdevumu risināšanā. Lieto krustleņķu un blakusleņķu īpašības.",,"Leņķu īpašības: krustleņķi, blakusleņķi, kāpšļu leņķi, iekšējie šķērsleņķi, iekšējie vienpusleņķi.","2.temats"
